Prcie,Unit,Date,Type,Area,Towards,Floor,Arichi,Elevator,Year,Pro,ProR,Decorate,Community,Address,PlotR,Address2,GreenR,Domain,Park,FinishYear
81,6923,2天前,3室2厅2卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 塔楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
79,6810,20小时前,3室2厅2卫,建面116㎡,南北向,低层(共32层),"普通住宅 | 板楼	",有电梯,2017年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
65,6316,2天前,3室2厅1卫,建面102㎡,南北向,中层(共31层),"普通住宅	",有电梯,2017年,满两年,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
90,6923,2天前,3室2厅2卫,建面130㎡,南北向,中层(共24层),"普通住宅	",有电梯,2015年,满二唯一,70年商品房,毛坯,汇鑫群贤北府,"泾渭新区 - 马家湾 - 
长庆东路29号",容积率：3.50,所在地址：长庆东路29号,绿化率：38%,所在区域：泾渭新区 - 马家湾,停车位：暂无信息,竣工时间：2018年
69,6831,2天前,3室2厅1卫,建面101㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
65,6372,2天前,3室2厅1卫,建面102㎡,南北向,低层(共31层),"普通住宅 | 板楼	",有电梯,2018年,满二唯一,70年商品房,毛坯,奥韵华府,"泾渭新区 - 其他 - 
西韩路,近昭慧路",容积率：3.50,"所在地址：西韩路,近昭慧路",绿化率：38.6%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
65,7647,2天前,2室2厅1卫,建面85㎡,南北向,中层(共25层),"普通住宅	",有电梯,2017年,满两年,70年商品房,毛坯,水岸明珠,"高陵 - 
泾渭五路",容积率：3.50,所在地址：泾渭五路,绿化率：38%,所在区域：高陵,停车位：暂无信息,竣工时间：2018年
70,5982,2天前,3室2厅2卫,建面117㎡,南北向,低层(共31层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
70,5982,2天前,3室2厅2卫,建面117㎡,南北向,中层(共31层),"普通住宅 | 板楼	",有电梯,2017年,满二唯一,70年商品房,毛坯,乾基九境城,"未央 - 经济技术开发区 - 
鹿苑大道,近西高路",容积率：2.98,"所在地址：鹿苑大道,近西高路",绿化率：36%,所在区域：未央 - 经济技术开发区,停车位：暂无信息,竣工时间：2018年
81,6870,2天前,3室2厅2卫,建面117㎡,南北向,中层(共32层),"普通住宅 | 板楼	",有电梯,2018年,唯一住房,70年商品房,毛坯,天下荣郡,"泾渭新区 - 其他 - 
鹿苑大道",容积率：2.90,所在地址：鹿苑大道,绿化率：35%,所在区域：泾渭新区 - 其他,停车位：暂无信息,竣工时间：2018年
